Threshold,False Positive Rate,True Positive Rate,Category
0,1,1,Linear Regression
0.005,1,1,Linear Regression
0.01,0.999521531,1,Linear Regression
0.015,0.995598086,0.996870809,Linear Regression
0.02,0.972535885,0.991506482,Linear Regression
0.025,0.926028708,0.975860527,Linear Regression
0.03,0.865741627,0.954850246,Linear Regression
0.035,0.794736842,0.924452392,Linear Regression
0.04,0.71215311,0.884219937,Linear Regression
0.045,0.627464115,0.839964238,Linear Regression
0.05,0.534736842,0.767992848,Linear Regression
0.055,0.449760766,0.708091194,Linear Regression
0.06,0.359808612,0.61376844,Linear Regression
0.065,0.272344498,0.489941886,Linear Regression
0.07,0.1984689,0.353151542,Linear Regression
0.075,0.13569378,0.244523916,Linear Regression
0.08,0.083349282,0.160035762,Linear Regression
0.085,0.046794258,0.105051408,Linear Regression
0.09,0.018660287,0.050067054,Linear Regression
0.095,0.00430622,0.026374609,Linear Regression
0.1,0.000669856,0.009387573,Linear Regression
0.105,0,0,Linear Regression
0.11,0,0,Linear Regression
0.115,0,0,Linear Regression
0.12,0,0,Linear Regression
0,1,1,Gaussian NB
0.005,0.992727273,0.9950827,Gaussian NB
0.01,0.983157895,0.988824318,Gaussian NB
0.015,0.955119617,0.979883773,Gaussian NB
0.02,0.912535885,0.9655789,Gaussian NB
0.025,0.858373206,0.942333482,Gaussian NB
0.03,0.797990431,0.91819401,Gaussian NB
0.035,0.741626794,0.892266428,Gaussian NB
0.04,0.685933014,0.865444792,Gaussian NB
0.045,0.626602871,0.827447474,Gaussian NB
0.05,0.570430622,0.785873938,Gaussian NB
0.055,0.515598086,0.746535539,Gaussian NB
0.06,0.465167464,0.66607063,Gaussian NB
0.065,0.40354067,0.605274922,Gaussian NB
0.07,0.33215311,0.532409477,Gaussian NB
0.075,0.247655502,0.40590076,Gaussian NB
0.08,0.158373206,0.267769334,Gaussian NB
0.085,0.068133971,0.098793026,Gaussian NB
0.09,9.57E-05,0.003129191,Gaussian NB
0.095,0,0,Gaussian NB
0.1,0,0,Gaussian NB
0.105,0,0,Gaussian NB
0.11,0,0,Gaussian NB
0.115,0,0,Gaussian NB
0.12,0,0,Gaussian NB
0,1,1,SVM
0.005,1,1,SVM
0.01,1,1,SVM
0.015,1,1,SVM
0.02,1,1,SVM
0.025,1,1,SVM
0.03,1,1,SVM
0.035,1,1,SVM
0.04,1,1,SVM
0.045,1,1,SVM
0.05,0.977511962,0.982118909,SVM
0.055,0.219425837,0.17836388,SVM
0.06,0.044880383,0.04738489,SVM
0.065,0.000287081,0.019222173,SVM
0.07,9.57E-05,0.007152436,SVM
0.075,9.57E-05,0.001341082,SVM
0.08,9.57E-05,0.001341082,SVM
0.085,9.57E-05,0,SVM
0.09,9.57E-05,0,SVM
0.095,9.57E-05,0,SVM
0.1,9.57E-05,0,SVM
0.105,0,0,SVM
0.11,0,0,SVM
0.115,0,0,SVM
0.12,0,0,SVM
