Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall
0.0,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.005,76,10374,11,2226,0.9927272727272727,0.9950827000447027,0.17666666666666667,0.9950827000447027
0.01,176,10274,25,2212,0.9831578947368421,0.9888243182834153,0.1771584174275188,0.9888243182834153
0.015,469,9981,45,2192,0.9551196172248804,0.9798837729101475,0.18007064815575455,0.9798837729101475
0.02,914,9536,77,2160,0.9125358851674641,0.965578900312919,0.18467852257181944,0.965578900312919
0.025,1480,8970,129,2108,0.8583732057416268,0.9423334823424229,0.190287055425167,0.9423334823424229
0.030000000000000002,2111,8339,183,2054,0.7979904306220096,0.9181940098345999,0.19763302222649862,0.9181940098345999
0.035,2700,7750,241,1996,0.7416267942583732,0.8922664282521234,0.20480197003899037,0.8922664282521234
0.04,3282,7168,301,1936,0.685933014354067,0.8654447921323201,0.2126537785588752,0.8654447921323201
0.045,3902,6548,386,1851,0.6266028708133972,0.827447474295932,0.22038337897368734,0.827447474295932
0.049999999999999996,4489,5961,479,1758,0.5704306220095694,0.7858739383102369,0.22774970851146523,0.7858739383102369
0.05499999999999999,5062,5388,567,1670,0.5155980861244019,0.7465355386678587,0.23661093794276,0.7465355386678587
0.05999999999999999,5589,4861,747,1490,0.46516746411483256,0.6660706303084488,0.2346087230357424,0.6660706303084488
0.06499999999999999,6233,4217,883,1354,0.4035406698564593,0.605274921770228,0.2430443367438521,0.605274921770228
0.06999999999999999,6979,3471,1046,1191,0.33215311004784687,0.5324094769780957,0.2554697554697555,0.5324094769780957
0.075,7862,2588,1329,908,0.2476555023923445,0.4059007599463567,0.2597254004576659,0.4059007599463567
0.08,8795,1655,1638,599,0.1583732057416268,0.2677693339293697,0.2657497781721384,0.2677693339293697
0.085,9738,712,2016,221,0.06813397129186603,0.09879302637460885,0.23687031082529475,0.09879302637460885
0.09000000000000001,10449,1,2230,7,9.569377990430622e-05,0.0031291908806437194,0.875,0.0031291908806437194
0.09500000000000001,10450,0,2237,0,0.0,0.0,,0.0
0.10000000000000002,10450,0,2237,0,0.0,0.0,,0.0
0.10500000000000002,10450,0,2237,0,0.0,0.0,,0.0
0.11000000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.11500000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.12000000000000004,10450,0,2237,0,0.0,0.0,,0.0
