Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall
0.0,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.005,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.01,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.015,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.02,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.025,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.030000000000000002,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.035,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.04,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.045,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.049999999999999996,406,10044,82,2155,0.9611483253588516,0.9633437639696022,0.1766538240839413,0.9633437639696022
0.05499999999999999,8264,2186,1854,383,0.2091866028708134,0.17121144389807777,0.14908524717789023,0.17121144389807777
0.05999999999999999,9977,473,2131,106,0.045263157894736845,0.047384890478319175,0.18307426597582038,0.047384890478319175
0.06499999999999999,10446,4,2194,43,0.0003827751196172249,0.019222172552525705,0.9148936170212766,0.019222172552525705
0.06999999999999999,10448,2,2221,16,0.00019138755980861245,0.007152436298614216,0.8888888888888888,0.007152436298614216
0.075,10449,1,2234,3,9.569377990430622e-05,0.0013410818059901655,0.75,0.0013410818059901655
0.08,10449,1,2234,3,9.569377990430622e-05,0.0013410818059901655,0.75,0.0013410818059901655
0.085,10449,1,2234,3,9.569377990430622e-05,0.0013410818059901655,0.75,0.0013410818059901655
0.09000000000000001,10449,1,2237,0,9.569377990430622e-05,0.0,0.0,0.0
0.09500000000000001,10449,1,2237,0,9.569377990430622e-05,0.0,0.0,0.0
0.10000000000000002,10449,1,2237,0,9.569377990430622e-05,0.0,0.0,0.0
0.10500000000000002,10449,1,2237,0,9.569377990430622e-05,0.0,0.0,0.0
0.11000000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.11500000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.12000000000000004,10450,0,2237,0,0.0,0.0,,0.0
