Year,State,AverageTemperature,AverageTemperatureUncertainty,Dis No,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1900,Texas,17.984166666666667,0.39991666666666664,1900-0003-USA,3,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,"Avalanche (Snow, Debris)",,,,,,220.0,Kph,,,,,1900,9.0,8.0,1900,9.0,8.0,6000.0,,,,,,,30000.0,3.2613889831939
1903,Delaware,11.651083333333332,0.5205833333333333,1903-0002-USA,2,Natural,Hydrological,Flood,,,,SigDam,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1903,,,1903,,,,,,,,,,480000.0,3.5223001018494
1903,Georgia,16.8135,0.4147499999999999,1903-0010-USA,10,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1903,,,1903,,,98.0,,,,,,,,3.5223001018494
1903,Oregon,7.644916666666667,0.5299166666666667,1903-0003-USA,3,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1903,,,1903,,,250.0,,,,,,,,3.5223001018494
1906,Alabama,16.993416666666665,0.35175,1906-0005-USA,5,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1906,,,1906,,,134.0,,,,,,,,3.5223001018494
1906,California,14.375166666666665,0.36633333333333334,1906-0013-USA,13,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,,Fire,,,,,,8.0,Richter,37.67,-122.48,05:12,,1906,4.0,18.0,1906,4.0,18.0,700.0,,,84564.0,84564.0,,180000.0,524000.0,3.5223001018494
1906,Florida,21.26875,0.4206666666666667,1906-0004-USA,4,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,177.0,Kph,,,,,1906,,,1906,,,164.0,,,,,,,,3.5223001018494
1906,Mississippi,17.37816666666667,0.3501666666666667,1906-0005-USA,5,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1906,,,1906,,,134.0,,,,,,,,3.5223001018494
1909,Louisiana,19.327583333333333,0.32108333333333333,1909-0017-USA,17,Natural,Hydrological,Flood,Coastal flood,,,Kill,United States of America (the),USA,Northern America,Americas,Meteorological,,,,No,No,,,Km2,,,,,1909,9.0,22.0,1909,9.0,22.0,72.0,,,,,,,,3.5223001018494
1909,Texas,18.510666666666665,0.2863333333333333,1909-0004-USA,4,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1909,,,1909,,,41.0,,,,,,,,3.5223001018494
1910,Florida,20.624666666666666,0.32683333333333336,1910-0003-USA,3,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1910,,,1910,,,30.0,,,,,,,,3.6527556611772
1913,Indiana,11.776166666666667,0.25758333333333333,1913-0005-USA,5,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1913,3.0,,1913,3.0,,732.0,,,,,,,200000.0,3.8745301120344
1913,Ohio,11.025916666666667,0.2926666666666667,1913-0005-USA,5,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1913,3.0,,1913,3.0,,732.0,,,,,,,200000.0,3.8745301120344
1913,Texas,17.42925,0.32966666666666666,1913-0005-USA,5,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1913,3.0,,1913,3.0,,732.0,,,,,,,200000.0,3.8745301120344
1915,California,14.009833333333335,0.4001666666666666,1915-0004-USA,4,Natural,Geophysical,Earthquake,Ground movement,,,Declar,United States of America (the),USA,Northern America,Americas,,,,,,,,6.0,Richter,32.47,-115.33,20:56,,1915,6.0,22.0,1915,6.0,22.0,6.0,,,,,,,1000.0,3.9658490035638
1915,Louisiana,18.793583333333334,0.30774999999999997,1915-0005-USA,5,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,249.0,Kph,,,,,1915,8.0,,1915,8.0,,525.0,,,,,,,60000.0,3.9658490035638
1915,Texas,17.702666666666666,0.3000833333333333,1915-0005-USA,5,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,249.0,Kph,,,,,1915,8.0,,1915,8.0,,525.0,,,,,,,60000.0,3.9658490035638
1918,Louisiana,19.153333333333332,0.29050000000000004,1918-0003-USA,3,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1918,,,1918,,,34.0,,,,,,,,5.8965912816145
1920,Alabama,16.517666666666667,0.31858333333333333,1920-0016-USA,16,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1920,4.0,20.0,1920,4.0,20.0,224.0,,,,,,,,7.8534246715309
1920,Mississippi,17.043916666666664,0.3273333333333333,1920-0016-USA,16,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1920,4.0,20.0,1920,4.0,20.0,224.0,,,,,,,,7.8534246715309
1925,California,14.189666666666668,0.3521666666666666,1925-0005-USA,5,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,6.0,Richter,34.25 N,119.41 W,,,1925,6.0,29.0,1925,6.0,29.0,13.0,,,,,,,8000.0,6.8750079765728
1925,California,14.189666666666668,0.3521666666666666,1925-0012-USA,12,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,6.0,Richter,34.3,-119.8,06:42,,1925,6.0,29.0,1925,6.0,29.0,13.0,,,,,,,8000.0,6.8750079765728
1925,Illinois,11.135583333333336,0.29316666666666663,1925-0001-USA,1,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1925,3.0,17.0,1925,3.0,18.0,739.0,,,,,,,18000.0,6.8750079765728
1925,Indiana,11.170166666666667,0.2665,1925-0001-USA,1,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1925,3.0,17.0,1925,3.0,18.0,739.0,,,,,,,18000.0,6.8750079765728
1925,Montana,5.81775,0.2814166666666667,1925-0001-USA,1,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1925,3.0,17.0,1925,3.0,18.0,739.0,,,,,,,18000.0,6.8750079765728
1926,Alabama,16.857499999999998,0.25975,1926-0011-USA,11,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,249.0,Kph,,,,,1926,9.0,,1926,9.0,,243.0,,,,,,,73000.0,6.9402357562366
1926,Florida,21.257500000000004,0.3215,1926-0011-USA,11,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,249.0,Kph,,,,,1926,9.0,,1926,9.0,,243.0,,,,,,,73000.0,6.9402357562366
1926,Louisiana,18.9455,0.26733333333333337,1926-0003-USA,3,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,209.0,Kph,,,,,1926,,,1926,,,25.0,,,,,,,,6.9402357562366
1927,Mississippi,18.7875,0.21925000000000003,1927-0005-USA,5,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1927,4.0,,1927,4.0,,246.0,,,,,,,230.0,6.8097801969089
1928,Florida,21.190166666666666,0.26749999999999996,1928-0014-USA,14,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,249.0,Kph,,,,,1928,9.0,,1928,9.0,,1836.0,,,,,,,25000.0,6.7315068613122
1932,Alabama,17.63775,0.2405833333333333,1932-0014-USA,14,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1932,3.0,21.0,1932,3.0,21.0,332.0,,,,,,,,5.348677932438
1932,South Carolina,17.95675,0.2595,1932-0014-USA,14,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1932,3.0,21.0,1932,3.0,21.0,332.0,,,,,,,,5.348677932438
1932,Texas,17.816083333333335,0.22225000000000006,1932-0014-USA,14,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1932,3.0,21.0,1932,3.0,21.0,332.0,,,,,,,,5.348677932438
1932,Texas,17.816083333333335,0.22225000000000006,1932-0002-USA,2,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1932,,,1932,,,40.0,,,,,,,,5.348677932438
1933,California,13.929583333333333,0.27666666666666667,1933-0007-USA,7,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,,Tsunami/Tidal wave,,,,,,6.0,Richter,33.62,117.97,17:54,,1933,3.0,10.0,1933,3.0,10.0,116.0,,,,,,,38500.0,5.0747212578497
1935,Florida,21.566833333333335,0.21241666666666667,1935-0007-USA,7,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,249.0,Kph,,,,,1935,9.0,,1935,9.0,,408.0,,,,,,,6000.0,5.3747690443035
1936,Georgia,17.913833333333333,0.23541666666666664,1936-0003-USA,3,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1936,4.0,5.0,1936,4.0,5.0,455.0,,,,,,,21000.0,5.4399968239674
1936,Illinois,11.167666666666667,0.22466666666666668,1936-0005-USA,5,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,°C,,,,,1936,7.0,,1936,7.0,,1193.0,,,,,,,,5.4399968239674
1936,Mississippi,17.75883333333333,0.22150000000000003,1936-0003-USA,3,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1936,4.0,5.0,1936,4.0,5.0,455.0,,,,,,,21000.0,5.4399968239674
1936,Pennsylvania,9.174916666666666,0.20716666666666672,1936-0002-USA,2,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1936,3.0,,1936,3.0,,200.0,,,,,,,,5.4399968239674
1937,Indiana,10.578750000000003,0.22091666666666665,1937-0001-USA,1,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1937,1.0,,1937,1.0,,137.0,,,,,,,438000.0,5.6356801629591
1937,Kentucky,12.790083333333333,0.21458333333333332,1937-0001-USA,1,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1937,1.0,,1937,1.0,,137.0,,,,,,,438000.0,5.6356801629591
1937,Ohio,10.238333333333335,0.23925000000000005,1937-0001-USA,1,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1937,1.0,,1937,1.0,,137.0,,,,,,,438000.0,5.6356801629591
1938,New York,8.247916666666667,0.21883333333333332,1938-0004-USA,4,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,No,No,,,Kph,,,,,1938,9.0,,1938,9.0,,600.0,,,,,,,306000.0,5.518270159564
1940,California,15.141416666666665,0.23558333333333334,1940-0008-USA,8,Natural,Geophysical,Earthquake,Ground movement,,,SigDis,United States of America (the),USA,Northern America,Americas,,,,Yes,,,,7.0,Richter,32.733,-115.5,20:36,,1940,5.0,18.0,1940,5.0,18.0,9.0,,,,,,,33000.0,5.4921790476985
1940,Georgia,16.727583333333335,0.18183333333333337,1940-0005-USA,5,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,177.0,Kph,,,,,1940,,,1940,,,50.0,,,,,,,,5.4921790476985
1944,Ohio,10.895249999999999,0.18675,1944-0013-USA,13,Natural,Climatological,Wildfire,Forest fire,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1944,10.0,20.0,1944,10.0,20.0,121.0,,,,,,,,6.9010990884382
1946,Alaska,-5.389916666666667,0.42283333333333334,1946-0010-USA,10,Natural,Geophysical,Earthquake,Tsunami,,,Kill,United States of America (the),USA,Northern America,Americas,Earthquake,Tsunami/Tidal wave,,,,,,9.0,Richter,53.492,-162.832,03:29,,1946,4.0,1.0,1946,4.0,1.0,165.0,,,,,,,25000.0,7.6446957766065
1947,Florida,21.799166666666668,0.17616666666666667,1947-0008-USA,8,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,249.0,Kph,,,,,1947,9.0,,1947,9.0,,51.0,,,,,,,100000.0,8.7535680308924
1947,Louisiana,19.027083333333337,0.18900000000000003,1947-0008-USA,8,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,249.0,Kph,,,,,1947,9.0,,1947,9.0,,51.0,,,,,,,100000.0,8.7535680308924
1947,Maine,5.15925,0.2326666666666667,1947-0010-USA,10,Natural,Climatological,Wildfire,Forest fire,,,SigDam,United States of America (the),USA,Northern America,Americas,,,,,,,,,Km2,,,,,1947,10.0,,1947,10.0,,,,,,,,,30000.0,8.7535680308924
1951,Tennessee,14.310916666666666,0.20925000000000002,1951-0003-USA,3,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,°C,,,,,1951,1.0,,1951,1.0,,25.0,,,,,,,100000.0,10.1755336275649
1952,Alabama,17.56225,0.13675,1952-0002-USA,2,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1952,3.0,21.0,1952,3.0,21.0,229.0,,,,,,,,10.4103536343549
1952,Arkansas,16.27,0.1554166666666667,1952-0002-USA,2,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,Kph,,,,,1952,3.0,21.0,1952,3.0,21.0,229.0,,,,,,,,10.4103536343549
