date,state,ave_temp,ave_temp_uncertainty,disaster_occurrence,month,fitted_temp,error,mean,std,anomaly
1743-11-01,AL,10.722,2.898,0.0,11,0.0,10.722,10.722,,0
1744-04-01,AL,19.075,2.902,0.0,4,17.679976642764597,1.3950233572354023,6.058511678617701,6.595168432067386,0
1744-05-01,AL,21.197,2.844,0.0,5,21.372999977439356,-0.17599997743935702,3.9803411265986814,5.891052694850573,0
1744-06-01,AL,25.29,2.879,0.0,6,17.01875176101428,8.27124823898572,3.1634238729272552,4.492708636824623,1
1744-07-01,AL,26.42,2.841,0.0,7,21.77277132386021,4.647228676139793,4.247492312562052,4.237787450751739,1
1744-09-01,AL,21.735,2.866,0.0,9,19.787954053741714,1.9470459462582852,4.9551742871279325,3.173327360095374,0
1744-10-01,AL,15.63,2.872,0.0,10,11.00026212310614,4.629737876893861,3.7413374997639797,1.5539266766005941,1
1744-11-01,AL,11.198,2.806,0.0,11,5.338179823140596,5.8598201768594045,4.145534666670517,2.000822357558757,1
1744-12-01,AL,7.063,2.823,0.0,12,3.7698491625421457,3.293150837457854,4.594236297070373,1.2837029041345447,1
1745-01-01,AL,6.931,2.838,0.0,1,1.1183556407986899,5.81264435920131,4.988538457839523,1.4684382101234241,1
1745-02-01,AL,8.621,2.75,0.0,2,4.788319047044458,3.832680952955543,4.312825383204903,1.3265993769602846,1
1745-03-01,AL,11.232,2.757,0.0,3,7.699150939544764,3.532849060455235,4.3927247908706955,1.2387911350733103,1
1745-04-01,AL,16.799,2.749,0.0,4,14.641005574587766,2.157994425412234,3.1745081462743374,0.8930005036201035,1
1750-01-01,AL,7.444,2.724,0.0,1,17.69026160496785,-10.246261604967852,-1.5184727063667944,7.589682510539073,0
1750-02-01,AL,9.311,2.9560000000000004,0.0,2,-3.5886143532528756,12.899614353252876,1.603782391232419,11.582886371818441,1
1750-03-01,AL,13.229,3.127,0.0,3,11.614085640627444,1.6149143593725555,1.4227557025525261,11.574134403072145,0
1750-04-01,AL,17.303,2.761,0.0,4,14.891257246631191,2.4117427533688094,5.6420904886647465,6.297814966809465,0
1750-05-01,AL,21.966,2.823,0.0,5,16.86133650546696,5.1046634945330425,3.043773535758136,1.8287111414884716,1
1750-06-01,AL,24.568,2.8,0.0,6,21.77725716810668,2.790742831893322,3.4357163599317246,1.4577203670288892,1
1750-07-01,AL,28.464,2.787,0.0,7,22.16851709848853,6.29548290151147,4.730296409312611,1.782109361057584,1
1750-08-01,AL,27.126,2.734,0.0,8,25.134961848695195,1.9910381513048065,3.6924212949031996,2.2895041362459465,0
1750-09-01,AL,22.742,2.773,0.0,9,20.25865031221207,2.483349687787932,3.5899569135347362,2.3559490266030134,1
1750-10-01,AL,15.084,2.778,0.0,10,13.507365147406539,1.576634852593461,2.0170075638953997,0.4539149214149445,1
1750-12-01,AL,6.949999999999998,2.852,0.0,12,4.883346064435152,2.0666539355648466,2.042212825315413,0.4538512685815461,1
1751-01-01,AL,7.167000000000001,2.847,0.0,1,6.28219369403444,0.8848063059655606,1.5093650313746227,0.5937885789845134,1
1751-02-01,AL,7.74,2.912,0.0,2,2.306681670831628,5.433318329168372,2.7949261902329265,2.3600902025123127,1
1751-03-01,AL,13.688,2.847,0.0,3,10.974245644731784,2.7137543552682164,3.0106263301340497,2.2887420416902966,1
1751-04-01,AL,16.803,2.777,0.0,4,22.21978044021056,-5.416780440210559,0.9100974147420097,5.645444587953263,0
1751-06-01,AL,25.701,2.803,0.0,6,19.322362929853504,6.378637070146496,1.225203661734718,6.03695336542562,1
1751-07-01,AL,27.315,2.7430000000000003,0.0,7,30.073865900523373,-2.7588659005233716,-0.5990030901958114,6.187222646752455,0
1751-08-01,AL,26.703000000000003,2.724,0.0,8,25.497740179702294,1.2052598202977087,1.6083436633069443,4.582068045448632,0
1751-09-01,AL,21.791,2.722,0.0,9,25.28762349598339,-3.496623495983389,-1.6834098587363506,2.5287113226587854,0
1752-01-01,AL,4.3420000000000005,2.95,0.0,1,14.115388099161013,-9.773388099161012,-4.021583924948898,5.508118110919873,0
1752-03-01,AL,13.85,2.8510000000000004,0.0,3,-7.928942763549446,21.778942763549445,2.836310389468348,16.70230326678374,1
1752-04-01,AL,16.519000000000002,2.739,0.0,4,22.29121681811218,-5.772216818112177,2.077779282092085,17.17859787053077,0
1752-10-01,AL,16.151999999999994,2.852,0.0,10,17.718398296167287,-1.5663982961672929,4.813442549756658,14.842283365036392,0
1752-11-01,AL,12.939,2.728,0.0,11,18.862514249061025,-5.923514249061025,-4.420709787780165,2.473063544779607,0
1752-12-01,AL,8.357000000000001,2.754,0.0,12,1.2504102854795676,7.1065897145204335,-0.12777427690262813,6.633108745304814,1
1753-01-01,AL,6.859,4.471,0.0,1,12.399076885971757,-5.540076885971757,-1.4523338068374496,7.414724198255327,0
1753-02-01,AL,8.3,3.503,0.0,2,6.997510823248242,1.3024891767517586,0.9563340017668116,6.330435338890826,0
1753-03-01,AL,14.128,3.554,0.0,3,14.086058984458866,0.04194101554113416,-1.3985488978929548,3.6416254576374114,0
1753-04-01,AL,16.921,4.971,0.0,4,19.308171107038294,-2.387171107038295,-0.3475803049151341,1.8754181925005156,0
1753-05-01,AL,22.496,2.815,0.0,5,21.96341069048332,0.5325893095166769,-0.6042135939934946,1.5634535672949903,0
1753-06-01,AL,26.377,3.3760000000000003,0.0,6,26.55678843910858,-0.1797884391085809,-0.6781234122100663,1.5223348946872164,0
1753-07-01,AL,27.253,3.063,0.0,7,22.058694069284215,5.194305930715785,1.849035600374627,2.9189031675408006,1
1753-08-01,AL,26.301,4.8580000000000005,0.0,8,27.645409212357595,-1.344409212357597,1.2233694264165358,3.4878844486669895,0
1753-09-01,AL,22.458,2.843,0.0,9,22.443320866494336,0.014679133505662634,1.2881919506212836,3.4503731830169624,0
1753-10-01,AL,17.368,2.787,0.0,10,14.944189785220122,2.423810214779877,0.36469337864264756,1.908337467958213,1
1753-11-01,AL,10.956,2.988,0.0,11,11.30287381601772,-0.3468738160177196,0.6972051774226067,1.506171919170543,0
1753-12-01,AL,5.100999999999999,3.87,0.0,12,5.521670305796935,-0.42067030579693565,0.552088697655074,1.6213782898284104,0
1754-01-01,AL,6.957000000000001,3.088,0.0,1,5.331885552707179,1.6251144472928214,0.28585677515938873,1.1604179483066066,1
1754-02-01,AL,6.5760000000000005,3.3710000000000004,0.0,2,7.323402360422826,-0.7474023604228259,0.15234726035768661,1.2858735742928311,0
1754-03-01,AL,12.388,3.563,0.0,3,15.121627631484685,-2.7336276314846852,-0.6186385148715633,2.1822220838556414,0
1754-06-01,AL,26.004,2.922,0.0,6,18.45506921084862,7.548930789151381,1.3559669324146233,5.454436149134669,1
1754-07-01,AL,27.057,3.128,0.0,7,27.545840193555062,-0.48884019355506325,1.4421543213705441,5.4064134859399156,0
1754-08-01,AL,26.052,3.656,0.0,8,27.987867942538188,-1.935867942538188,1.7080742176860433,5.109811781553616,0
1754-09-01,AL,22.217,3.168,0.0,9,17.70042739456767,4.51657260543233,0.6972881564463597,3.3858045725176353,1
1754-10-01,AL,18.217,3.022,0.0,10,25.430630090966822,-7.213630090966824,-1.5443084760242272,5.874895993676398,0
1754-12-01,AL,8.375,2.833,0.0,12,19.643158082997054,-11.268158082997054,-4.655071856177183,8.19750546856594,0
1755-01-01,AL,6.247000000000001,4.347,0.0,1,10.204350272954333,-3.957350272954332,-7.479712815639403,3.662659924306686,0
1755-02-01,AL,7.768,3.215,0.0,2,4.506326322820976,3.261673677179024,-3.9879448929241206,7.2649641959085836,0
1755-03-01,AL,11.918,3.525,0.0,3,3.173988514700726,8.744011485299273,2.6827782965079883,6.370438566129372,1
1755-04-01,AL,17.995,3.781,0.0,4,9.518472826534943,8.476527173465058,6.827404111981118,3.090907975745119,1
1755-05-01,AL,22.856,3.2060000000000004,0.0,5,15.98012697715616,6.875873022843841,8.032137227202723,1.0102460823881476,1
1755-06-01,AL,26.607,3.227,0.0,6,24.207089479939608,2.3999105200603914,5.91743690545643,3.1496455882278567,0
1755-09-01,AL,22.591,2.762,0.0,9,28.19100215600763,-5.60000215600763,1.2252604622988674,6.320341560249721,0
1755-10-01,AL,16.419,4.234,0.0,10,23.23907195103096,-6.820071951030961,-3.340054528992733,5.008247363044839,0
1755-11-01,AL,11.535,4.396,0.0,11,17.528565888227654,-5.9935658882276535,-6.137879998422082,0.6227057876581102,0
1755-12-01,AL,6.265999999999999,5.263999999999999,0.0,12,9.211789727017967,-2.945789727017968,-5.253142522092194,2.0405111513209686,0
1756-01-01,AL,8.635,3.882,0.0,1,10.632617682502676,-1.9976176825026766,-3.6456577659161,2.0878845680766083,0
1756-02-01,AL,12.255999999999998,3.083,0.0,2,10.165112243894086,2.0908877561059125,-0.9508398844715774,2.676534669323351,0
1756-06-01,AL,26.288,3.036,0.0,6,13.758065705201377,12.529934294798624,4.2077347894672865,7.4915434080892735,1
1756-07-01,AL,26.784,2.8480000000000003,0.0,7,23.029512110292522,3.7544878897074767,6.125103313537338,5.608768695090133,0
1756-08-01,AL,25.723000000000003,5.401,0.0,8,23.836944221788475,1.886055778211528,6.056825987572542,5.683186430746995,0
1756-09-01,AL,23.52,3.276,0.0,9,24.449131013395633,-0.929131013395633,1.570470884841124,2.3577037294937777,0
1756-10-01,AL,16.088,3.412,0.0,10,19.123980915551073,-3.0359809155510717,-0.6930187169117256,2.469498545474263,0
1756-11-01,AL,10.093,3.74,0.0,11,15.664910444856531,-5.571910444856531,-3.179007457934412,2.3246919486608624,0
1756-12-01,AL,5.718,2.927,0.0,12,10.394236214952318,-4.6762362149523184,-4.428042525119974,1.2860539355545069,0
1757-01-01,AL,4.947,2.943,0.0,1,6.1532105618644195,-1.2062105618644194,-3.81811907389109,2.3058854346924083,0
1757-02-01,AL,10.393,3.228,0.0,2,6.986507560615868,3.4064924393841327,-0.8253181124775351,4.054803930945094,0
1757-03-01,AL,12.843,3.398,0.0,3,8.421936154309229,4.421063845690771,2.2071152410701615,2.999238830496492,1
1757-04-01,AL,17.022000000000002,3.812,0.0,4,20.628997085175357,-3.6069970851753546,1.406853066633183,4.371654011151453,0
1757-05-01,AL,23.086,3.007,0.0,5,23.380782078720856,-0.29478207872085704,0.17309489393151978,4.034429603249819,0
1757-06-01,AL,28.661,3.2030000000000003,0.0,6,28.43638923815259,0.22461076184741202,-1.2257228006829333,2.07853136714292,0
1757-07-01,AL,29.835,3.961,0.0,7,26.7237737723428,3.111226227657202,1.0136849702612523,1.8349936581816813,1
1757-08-01,AL,27.064,4.205,0.0,8,22.732373367069794,4.331626632930206,2.555821207478273,2.109087692264459,1
1757-10-01,AL,15.201,5.93,0.0,10,19.414661576371806,-4.2136615763718055,1.0763970947385342,4.62178372981037,0
1757-11-01,AL,9.956,4.0710000000000015,0.0,11,8.768412037639742,1.1875879623602579,0.4351843396395528,4.322044776910737,0
1757-12-01,AL,5.523,5.03,0.0,12,6.317453969066195,-0.7944539690661951,-1.2735091943592476,2.7323057253121794,0
1758-01-01,AL,3.745,2.89,0.0,1,5.007367969252471,-1.2623679692524705,-0.2897446586528026,1.3006227864851991,0
1758-02-01,AL,7.654,3.244,0.0,2,5.983671930468076,1.6703280695319238,-0.12883128959558063,1.575584551061797,1
1758-03-01,AL,11.829,3.868,0.0,3,12.610533208469134,-0.7815332084691331,-0.12452436939655993,1.5728706160838508,0
1758-04-01,AL,16.281000000000002,5.763,0.0,4,15.192601088261142,1.0883989117388602,0.6590645909338836,1.2810745102865813,0
1758-05-01,AL,20.247,4.093999999999999,0.0,5,24.18570365925721,-3.938703659257211,-1.210612651995828,2.540870311816733,0
1758-06-01,AL,24.669,4.035,0.0,6,25.813703352418226,-1.144703352418226,-1.3316693666455255,2.5187610610547817,0
1758-07-01,AL,25.958,5.272,0.0,7,28.181024854487866,-2.2230248544878677,-2.4354772887211014,1.40906403554372,0
