Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall
0,0,33300,0,623,1.0,1.0,0.018365121009344693,1.0
0,25,33275,1,622,0.9992492492492493,0.9983948635634029,0.018349706463698854,0.9983948635634029
0,3016,30284,35,588,0.9094294294294294,0.9438202247191011,0.01904638507385333,0.9438202247191011
0,11424,21876,116,507,0.6569369369369369,0.8138041733547352,0.022651119152928563,0.8138041733547352
0,18510,14790,230,393,0.44414414414414416,0.6308186195826645,0.02588421260620431,0.6308186195826645
0,24571,8729,358,265,0.26213213213213216,0.42536115569823435,0.029464087169223926,0.42536115569823435
0,29859,3441,515,108,0.10333333333333333,0.17335473515248795,0.030431107354184278,0.17335473515248795
0,32772,528,604,19,0.015855855855855857,0.030497592295345103,0.03473491773308958,0.030497592295345103
0,33295,5,621,2,0.00015015015015015014,0.0032102728731942215,0.2857142857142857,0.0032102728731942215
0,33300,0,623,0,0.0,0.0,,0.0
